,Cabbage,Green_Onion,Lettuce,Potatoes,Onion,Cucumber,Tomato,Chinese_Cabbage,Radish
2017-11-06,171.0,738.0,763.0,340.0,271.0,583.9,783.0,189.0,192.0
2017-11-13,198.0,738.0,909.0,340.0,271.0,583.9,771.0,195.0,190.0
2017-11-20,196.0,738.0,873.0,340.0,271.0,583.9,757.0,209.0,190.0
2017-11-27,207.0,738.0,969.0,340.0,271.0,583.9,762.0,236.0,204.0
2017-12-04,221.0,738.0,1109.0,340.0,271.0,583.9,794.0,243.0,215.0
2017-12-11,226.0,738.0,1046.0,340.0,271.0,583.9,831.0,250.0,216.0
2017-12-18,253.0,738.0,1072.0,340.0,271.0,583.9,841.0,256.0,230.0
2017-12-25,326.0,738.0,1230.0,340.0,271.0,583.9,874.0,285.0,269.0
2018-01-01,326.0,738.0,1382.0,340.0,271.0,583.9,883.8,311.5,299.5
2018-01-08,392.0,738.0,1382.0,340.0,271.0,583.9,868.0,338.0,330.0
2018-01-15,419.0,738.0,1264.0,340.0,271.0,583.9,835.0,362.0,342.0
2018-01-22,377.0,738.0,1052.0,340.0,271.0,583.9,775.0,353.0,321.0
2018-01-29,351.0,738.0,931.0,340.0,271.0,583.9,732.0,350.0,290.0
2018-02-05,356.0,738.0,938.0,340.0,271.0,583.9,712.0,351.0,285.0
2018-02-12,417.0,738.0,1052.0,340.0,271.0,583.9,700.0,381.0,323.0
2018-02-19,455.0,738.0,1048.0,340.0,271.0,583.9,707.0,386.0,325.0
2018-02-26,475.0,738.0,957.0,340.0,271.0,583.9,709.0,389.0,319.0
2018-03-05,432.0,738.0,763.0,340.0,271.0,583.9,704.0,382.0,320.0
2018-03-12,335.0,738.0,540.0,340.0,271.0,583.9,689.0,347.0,296.0
2018-03-19,252.0,738.0,420.0,340.0,271.0,583.9,672.0,308.0,240.0
2018-03-26,237.0,738.0,395.0,340.0,271.0,583.9,657.0,289.0,205.0
2018-04-02,215.0,738.0,367.0,340.0,271.0,583.9,647.0,280.0,186.0
2018-04-09,206.0,738.0,357.0,340.0,271.0,492.0,642.0,280.2,171.0
2018-04-16,201.0,738.0,348.0,340.0,271.0,464.0,631.0,280.4,163.0
2018-04-23,203.0,738.0,348.0,340.0,271.0,457.0,634.0,280.6,165.0
2018-04-30,203.0,738.0,334.0,340.0,271.0,454.5,629.0,280.8,164.5
2018-05-07,180.0,738.0,334.0,340.0,271.0,452.0,616.0,281.0,164.0
2018-05-14,155.0,738.0,330.0,340.0,271.0,495.0,602.0,281.2,157.0
2018-05-21,145.0,738.0,336.0,340.0,271.0,528.0,584.0,281.3,165.0
2018-05-28,142.0,738.0,393.0,340.0,271.0,504.0,565.0,281.5,173.0
2018-06-04,137.0,738.0,363.0,340.0,271.0,482.0,568.0,281.7,175.3
2018-06-11,141.0,738.0,334.0,340.0,271.0,471.0,561.0,281.9,177.7
2018-06-18,148.0,738.0,327.0,340.0,271.0,483.0,560.0,282.1,180.0
2018-06-25,169.0,738.0,349.0,340.0,271.0,524.0,571.0,282.3,182.3
2018-07-02,166.0,738.0,322.0,340.0,271.0,512.0,591.0,282.5,184.7
2018-07-09,168.0,738.0,307.0,340.0,271.0,534.0,600.0,282.7,187.0
2018-07-16,161.0,738.0,334.0,340.0,271.0,791.0,608.0,282.9,189.3
2018-07-23,184.0,738.0,384.0,340.0,271.0,712.0,630.0,283.1,191.7
2018-07-30,251.0,738.0,573.0,340.0,271.0,658.0,660.0,283.3,194.0
2018-08-06,257.0,738.0,492.0,340.0,271.0,629.0,667.0,283.5,196.3
2018-08-13,230.0,738.0,470.0,340.0,271.0,708.0,742.0,283.7,198.7
2018-08-20,203.0,738.0,430.0,340.0,271.0,703.0,798.0,283.8,201.0
2018-08-27,178.0,738.0,438.0,340.0,271.0,765.0,884.0,284.0,203.3
2018-09-03,161.0,738.0,449.0,340.0,271.0,740.0,988.0,284.2,205.7
2018-09-10,150.0,738.0,494.0,340.0,271.0,746.0,1009.0,284.4,208.0
2018-09-17,148.0,738.0,506.0,340.0,271.0,754.0,952.0,284.6,210.3
2018-09-24,152.0,738.0,561.0,340.0,271.0,734.0,913.0,284.8,212.7
2018-10-01,160.0,967.0,553.0,340.0,271.0,727.2,912.0,285.0,215.0
2018-10-08,184.0,1024.0,628.0,340.0,265.0,720.4,896.0,320.0,218.0
2018-10-15,179.0,976.0,594.0,340.0,268.0,713.6,873.0,293.0,199.0
2018-10-22,177.0,935.0,585.0,340.0,264.0,706.7,857.0,250.0,190.0
2018-10-29,190.0,897.0,546.0,340.0,264.0,699.9,882.0,241.0,195.0
2018-11-05,199.2,874.4,481.9,340.0,265.3,693.1,901.1,231.6,183.5
2018-11-12,190.0,811.0,436.0,340.0,263.0,686.3,892.0,208.0,161.0
2018-11-19,161.9,755.3,368.9,340.0,264.0,679.5,867.4,172.7,142.1
2018-11-26,148.8,721.1,333.1,340.0,263.2,672.7,810.4,148.4,128.0
2018-12-03,143.0,701.0,332.0,340.0,264.0,665.9,758.0,136.0,116.0
2018-12-10,141.0,689.0,337.0,340.0,267.0,659.0,728.0,127.0,112.0
2018-12-17,134.0,664.0,335.0,340.0,265.0,652.2,710.0,121.0,108.0
2018-12-24,149.8,715.6,433.4,340.0,269.9,645.4,718.1,125.0,119.7
2018-12-31,149.8,771.2,518.0,340.0,273.0,638.6,729.0,128.0,129.3
2019-01-07,166.0,783.0,518.0,340.0,273.0,631.8,716.0,131.0,139.0
2019-01-14,165.0,734.0,571.0,340.0,276.0,625.0,677.0,126.0,132.0
2019-01-21,168.0,667.0,546.0,340.0,282.0,618.1,669.0,126.0,131.0
2019-01-28,174.0,655.0,510.0,340.0,287.0,611.3,661.0,126.0,129.0
2019-02-04,184.0,636.0,479.0,340.0,294.0,604.5,655.0,122.0,139.0
2019-02-11,176.0,633.0,450.0,340.0,296.0,597.7,661.0,125.0,147.0
2019-02-18,157.0,610.0,429.0,340.0,298.0,590.9,659.0,122.0,141.0
2019-02-25,145.0,609.0,414.0,340.0,301.0,584.1,664.0,123.0,131.0
2019-03-04,133.8,588.5,392.7,340.0,304.1,577.3,665.5,125.6,122.6
2019-03-11,129.0,559.0,373.0,340.0,302.0,570.4,677.0,130.0,125.0
2019-03-18,126.0,542.0,355.0,340.0,299.0,563.6,672.0,145.0,127.0
2019-03-25,129.0,520.0,383.0,340.0,299.0,556.8,689.0,161.0,133.0
2019-04-01,132.0,526.0,389.0,340.0,301.0,550.0,689.0,163.8,134.6
2019-04-08,156.0,527.0,430.0,340.0,293.0,510.0,689.0,166.6,136.3
2019-04-15,194.0,555.0,461.0,342.0,294.0,490.0,680.0,169.4,137.9
2019-04-22,188.0,566.0,433.0,347.0,289.0,479.0,663.0,172.1,139.6
2019-04-29,188.0,595.6,404.0,351.0,275.0,459.5,634.2,174.9,141.2
2019-05-06,170.0,635.0,404.0,355.0,275.0,440.0,607.0,177.7,142.9
2019-05-13,181.0,660.0,407.0,365.0,270.0,461.0,594.0,180.5,144.5
2019-05-20,206.0,671.0,393.0,356.0,263.0,455.0,584.0,183.3,146.1
2019-05-27,196.0,696.0,379.0,351.0,250.0,451.0,569.0,186.1,147.8
2019-06-03,178.0,716.7,334.8,351.0,246.7,441.3,557.0,188.9,149.4
2019-06-10,171.0,724.1,322.3,352.5,246.8,448.7,553.0,191.6,151.1
2019-06-17,160.0,742.0,332.0,345.0,239.0,482.0,559.0,194.4,152.7
2019-06-24,150.0,752.0,324.0,343.0,239.0,507.0,564.0,197.2,154.4
2019-07-01,154.0,738.0,292.0,348.0,234.0,495.0,571.0,200.0,156.0
2019-07-08,149.0,745.0,288.0,354.0,233.0,490.0,560.0,202.8,157.6
2019-07-15,155.0,752.0,300.0,367.0,230.0,605.0,567.0,205.6,159.3
2019-07-22,154.0,748.0,316.0,379.0,230.0,609.0,592.0,208.4,160.9
2019-07-29,160.0,746.0,408.0,387.0,229.0,558.0,603.0,211.1,162.6
2019-08-05,163.1,760.3,412.7,391.6,231.8,512.7,585.2,213.9,164.2
2019-08-12,194.0,761.0,469.0,390.0,234.0,561.0,605.0,216.7,165.9
2019-08-19,212.0,819.0,503.0,387.0,239.0,593.0,609.0,219.5,167.5
2019-08-26,210.0,791.0,499.0,373.0,242.0,621.0,617.0,222.3,169.1
2019-09-02,190.0,753.0,517.0,369.0,246.0,746.0,720.0,225.1,170.8
2019-09-09,187.0,749.0,543.0,356.0,244.0,749.0,819.0,227.9,172.4
2019-09-16,182.0,761.0,579.0,350.0,245.0,644.0,867.0,230.6,174.1
2019-09-23,171.0,760.0,586.0,346.0,245.0,594.0,878.0,233.4,175.7
2019-09-30,171.0,755.0,517.0,339.0,239.0,592.0,911.0,236.2,177.4
2019-10-07,171.0,752.0,460.0,345.2,238.0,589.3,958.0,239.0,179.0
2019-10-14,178.0,739.0,423.0,351.4,238.0,586.7,923.0,210.0,172.0
2019-10-21,163.0,736.0,434.0,357.6,233.0,584.0,867.0,190.0,165.0
2019-10-28,147.0,726.0,480.0,363.7,233.0,581.3,836.0,175.0,163.0
2019-11-04,137.0,708.0,532.0,369.9,235.0,578.7,820.0,164.0,164.0
2019-11-11,145.0,721.0,557.0,376.1,234.0,576.0,850.0,172.0,171.0
2019-11-18,158.0,708.0,556.0,382.3,237.0,573.3,888.0,173.0,171.0
2019-11-25,152.0,713.0,517.0,388.5,234.0,570.7,885.0,172.0,167.0
2019-12-02,144.0,682.0,507.0,394.7,233.0,568.0,865.0,165.0,156.0
2019-12-09,140.0,678.0,475.0,400.9,233.0,565.3,813.0,157.0,145.0
2019-12-16,140.0,665.0,493.0,407.0,232.0,562.7,767.0,154.0,143.0
2019-12-23,145.0,677.0,494.0,413.2,235.0,560.0,736.0,152.0,143.0
2019-12-30,145.0,713.8,505.0,419.4,236.0,557.3,732.9,154.5,149.5
2020-01-06,151.0,720.0,505.0,425.6,236.0,554.7,726.0,157.0,156.0
2020-01-13,143.0,668.0,488.0,431.8,236.0,552.0,690.0,146.0,146.0
2020-01-20,131.0,632.0,454.0,438.0,234.0,549.3,664.0,146.0,134.0
2020-01-27,124.0,574.0,462.0,444.1,233.0,546.7,655.0,138.0,127.0
2020-02-03,120.0,549.0,445.0,450.3,232.0,544.0,675.0,129.0,121.0
2020-02-10,116.0,511.0,419.0,456.5,233.0,541.3,709.0,131.0,120.0
2020-02-17,117.0,505.0,419.0,462.7,233.0,538.7,715.0,137.0,124.0
2020-02-24,120.0,490.0,405.0,468.9,231.0,536.0,709.0,143.0,128.0
2020-03-02,119.0,500.0,368.0,475.1,229.0,533.3,690.0,157.0,131.0
2020-03-09,126.0,486.0,375.0,481.3,231.0,530.7,701.0,195.0,134.0
2020-03-16,132.0,484.0,374.0,487.4,229.0,528.0,741.0,226.0,136.0
2020-03-23,144.0,494.0,409.0,493.6,227.0,525.3,751.0,253.0,138.0
2020-03-30,186.0,506.0,472.0,499.8,228.0,522.7,755.0,317.0,177.0
2020-04-04,191.0,577.0,426.0,506.0,483.0,520.0,656.0,314.8,178.1
2020-04-06,208.0,543.0,476.0,372.0,226.0,596.0,758.0,312.7,179.2
2020-04-13,235.0,569.0,500.0,383.0,226.0,613.0,764.0,310.5,180.3
